id;descripcion;fecha_fact;fecha_venc;tipo_pago;total_factura
1;BEAC;2022-05-01T14:25:43;2022-05-01T12:56:01;Mesa Admin;26606
2;transition architect;2022-05-01T15:53:27;2022-05-01T17:56:48;feed Viole;18975
3;Joyería;2022-05-01T11:30:27;2022-05-01T13:33:17;Avon;81484
4;synthesize;2022-05-01T06:56:13;2022-05-01T01:25:17;HDD transm;5274
5;bluetooth Loan;2022-04-30T22:54:11;2022-05-01T14:56:20;holistic L;47887
6;USB;2022-05-01T04:16:43;2022-05-01T04:53:55;Bedfordshi;99658
7;Totalmente;2022-05-01T16:08:00;2022-05-01T18:46:38;Herzegovin;83770
8;Peso;2022-05-01T17:15:43;2022-05-01T10:11:55;Videojuego;65060
9;data-warehouse Iranian;2022-05-01T12:32:06;2022-05-01T01:00:33;Intranet M;40898
10;Baht;2022-05-01T07:05:24;2022-05-01T00:19:49;Desarrolla;75925
