id;ciudad;departamento;pais
1;Calidad Rojo a;Madera sinergia navigate;multi-byte empresa Azul
2;Avanzado;Parcela systems Genérico;hibrida
3;transmit hack;online;Real Amarillo
4;utilize HDD;vortals Multi;withdrawal Investment Estratega
5;Bedfordshire Azul system;Metal;Estratega end-to-end
6;Amarillo Uruguayo Aragón;withdrawal;Entrada compressing Nacional
7;unleash;Guapa;Nigeria Vasco
8;scale dinámica;iniciativa content array;Ucrania Pequeño Silla
9;deposit Teclado HDD;potenciada redundant;RAM bypassing
10;Increible Granito Ergonómico;Videojuegos Aplicaciones;Lituania
