id;cantidad_producto;descripcion_prodcuto;estilo;genero;marca;porcentaje_iva;talla
1;23830;Algodón;Verde complejidad Bu;bypassing;Borders GB Rústico;86414;7751
2;46039;deposit;sensor Dinánmico;Gorro Canada;Datos arquitectura r;52451;33065
3;16908;synthesize Berkshire;Sum Azul Profundo;multitarea;transition;37847;57643
4;28242;bluetooth primary scalable;Ladrillo port;withdrawal Navarra U;connect;30693;18297
5;78204;Guapa;neural Bélgica Anali;synergies vertical w;Kenia;7305;67392
6;68489;Intranet Respuesta program;Account Fantástico;Coche Camiseta;previsión Personal;57160;32328
7;58917;withdrawal;matrix;mindshare;Finlandia Account;6403;98017
8;22743;indexing;data-warehouse circu;Corporativo concepto;expedite TCP Sorpren;47560;22128
9;67183;radical bandwidth;bluetooth;Auto orchestrate pay;synthesizing;37707;74849
10;77246;Guantes Arroyo;CSS e-enable;ejecutiva Chalet;Madera Futuro Profun;37998;70209
